ID,POSITION_X,POSITION_Y
1,926.257,631.884
2,922.346,649.397
3,687.973,159.477
4,678.24,178.07
5,930.463,185.549
6,690.95,183.038
7,615.553,153.231
8,870.522,223.819
9,989.963,228.116
10,1008.444,244.554
11,1008.444,282.108
12,571.442,283.69
13,560.163,309.121
14,947.068,317.666
15,901.08,328.263
16,894.52,340.916
17,995.453,363.255
18,981.76,384.102
19,880.375,301.177
20,813.335,402.712
21,1008.444,409.423
22,998.13,418.447
23,854.422,444.17
24,862.883,457.494
25,957.846,467.015
26,847.521,505.324
27,875.771,571.305
28,887.768,500.557
29,882.164,600.97
30,791.025,612.851
